"workerID","rate_chocolate","mean","chocolate01","chocolate02","chocolate03","chocolate04","chocolate05","chocolate06","chocolate07","chocolate08","chocolate09","chocolate10","chocolate11","chocolate12","chocolate13","chocolate14","chocolate15","chocolate16","chocolate17","chocolate18","chocolate19","chocolate20","chocolate21","chocolate22","chocolate23","chocolate24","chocolate25","chocolate26","chocolate27","chocolate28","chocolate29","chocolate30","chocolate31","chocolate32","chocolate33","chocolate34","chocolate35","chocolate36","chocolate37","chocolate38","chocolate39","chocolate40","chocolate41","chocolate42","chocolate43","chocolate44","chocolate45","chocolate46","chocolate47","chocolate48","chocolate49","chocolate50","chocolate51","chocolate52","chocolate53","chocolate54","chocolate55","chocolate56","chocolate57","chocolate58","chocolate59","chocolate60","chocolate61","chocolate62","chocolate63","chocolate64","chocolate65"
"A15",5,4.23076923076923,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,3,4,4,4,5,3,5,4,5,4,5,4,3,5,4,4,5,4,4,4,5,4,4,4,5,5,4,4,5
"A16",4,3.29230769230769,5,4,3,5,4,1,5,3,5,4,5,1,4,3,3,5,3,3,3,4,1,4,3,3,3,1,4,5,5,4,1,4,3,3,4,1,1,3,3,1,1,4,4,3,4,4,4,3,1,4,5,3,3,5,3,3,5,3,3,3,4,3,4,4,1
"A22",5,3.36923076923077,4,2,5,5,4,2,3,1,5,3,2,4,3,4,5,5,1,4,3,2,4,4,5,4,4,4,3,5,3,5,3,2,3,4,3,2,1,2,2,4,2,2,5,3,3,3,5,1,2,3,4,5,3,4,5,5,5,2,5,3,2,4,2,5,2
"A41",5,2.93846153846154,3,5,5,2,4,3,4,4,3,5,1,2,5,3,1,2,5,2,5,5,1,5,1,2,1,1,2,4,5,4,4,4,1,2,3,1,1,1,1,1,4,2,4,2,5,2,5,1,2,5,5,2,2,4,5,5,4,1,1,3,1,2,3,5,2
"A42",5,3.84375,4,4,4,5,3,3,2,5,5,3,4,4,3,4,4,5,4,5,3,2,3,3,3,5,4,4,2,3,NA,5,4,3,4,4,3,2,1,5,3,4,5,4,5,4,4,5,5,3,2,3,5,4,5,4,5,3,4,5,5,2,5,5,4,4,5
"A44",4,3.2,4,3,4,5,3,4,3,3,4,4,1,3,5,2,3,4,1,4,2,2,3,2,2,3,3,3,2,4,5,5,4,2,3,3,5,3,1,2,3,3,4,4,4,4,5,4,1,3,2,3,4,4,3,5,1,1,4,4,4,3,4,4,2,2,4
"A55",5,4.109375,5,5,4,5,5,5,4,3,4,4,NA,5,4,4,5,3,2,5,5,5,1,5,3,4,5,5,3,4,5,3,3,5,5,5,4,4,3,5,3,5,5,3,5,4,5,5,5,2,2,5,5,5,5,3,5,5,4,2,5,2,2,5,5,5,2
"A61",5,4.09230769230769,4,5,5,5,5,5,4,4,5,4,4,4,4,2,3,5,4,4,5,4,5,4,4,3,4,4,3,3,4,5,4,5,3,4,4,4,2,3,5,4,5,5,3,3,4,3,5,5,2,5,5,4,5,5,5,5,5,3,4,4,4,4,3,4,4
"A80",5,3.64615384615385,2,4,5,5,5,5,4,5,2,3,2,2,5,2,4,4,2,4,2,5,4,4,4,3,4,3,3,4,5,2,3,5,2,3,4,2,3,4,5,5,4,4,2,2,5,2,3,2,4,5,5,4,5,5,3,3,4,4,5,4,3,4,4,3,4
"A104",5,3.16923076923077,2,4,5,5,4,1,4,5,5,3,5,2,1,1,1,5,5,2,3,2,3,5,4,5,2,1,5,5,2,5,3,5,4,2,5,1,2,2,2,2,3,5,1,3,4,1,2,1,5,3,5,4,2,4,3,3,5,1,3,4,1,3,3,5,2
"A110",5,3.66153846153846,5,5,2,3,5,5,5,2,4,5,5,5,5,4,4,4,5,2,2,5,1,3,5,5,4,3,3,3,4,4,5,4,4,4,5,5,1,5,1,5,4,2,5,4,5,1,2,2,2,3,4,2,3,5,4,3,3,2,5,4,2,3,5,5,2
"A123",5,3.734375,4,3,5,4,4,2,3,5,5,3,3,4,5,4,3,NA,4,3,4,3,4,5,3,5,4,3,3,5,5,4,3,3,2,4,4,3,3,2,5,3,4,3,5,3,4,4,5,5,2,4,4,3,3,3,4,4,5,5,3,2,5,3,3,4,5
"A124",5,3.56923076923077,4,4,4,5,3,4,3,4,4,1,5,4,5,3,2,5,4,4,4,4,2,2,2,5,3,2,2,5,5,5,5,4,2,3,3,2,3,3,3,2,5,3,5,3,5,3,5,3,1,5,5,4,2,5,5,5,5,3,4,1,4,3,4,2,3
"A134",5,3.73846153846154,3,4,4,4,3,4,2,5,4,3,3,4,3,2,4,5,3,5,5,4,5,2,1,4,3,2,3,5,3,5,5,4,2,5,4,2,1,3,5,4,5,4,2,1,3,2,5,5,4,5,4,5,4,4,5,4,5,5,5,4,5,5,1,4,5
"A144",4,4.87692307692308,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4
"A150",4,4.81538461538462,3,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
"A163",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A167",4,2.27692307692308,2,4,5,3,1,3,1,1,2,2,1,2,4,1,2,3,2,1,2,2,1,1,1,1,2,1,2,5,4,3,2,2,2,4,1,3,1,1,2,1,4,3,2,4,1,1,3,2,1,3,1,2,3,5,4,5,5,1,2,2,2,2,2,1,3
"A180",5,3.63076923076923,5,5,2,5,2,5,1,4,4,5,3,3,5,5,4,2,2,5,4,3,2,2,5,4,5,5,3,4,5,2,2,3,4,4,5,1,5,4,1,5,4,2,5,5,2,5,1,2,4,5,5,4,5,4,3,1,3,5,5,2,5,5,5,2,2
"A185",5,3.26153846153846,5,3,4,4,3,3,5,4,3,5,3,4,4,3,3,4,2,3,2,3,1,3,4,3,3,3,3,2,4,4,3,3,3,5,3,1,2,3,1,3,4,5,2,3,4,3,4,2,4,2,5,3,3,5,5,4,5,2,4,3,2,4,2,3,2
"A191",5,3.67692307692308,4,3,3,3,3,5,2,3,3,1,3,4,3,4,5,4,1,4,4,3,3,3,4,2,5,5,3,2,3,2,2,3,5,4,4,3,3,5,4,5,5,3,5,4,3,4,4,4,4,5,4,4,4,5,5,4,4,4,4,5,4,4,5,3,4
"A238",5,3.29230769230769,3,4,3,3,4,5,2,5,1,3,3,3,2,3,4,2,2,1,4,5,1,2,1,1,5,3,1,1,2,1,2,5,4,4,4,3,3,5,5,5,3,4,5,5,4,5,4,4,5,5,1,3,3,1,1,4,2,3,5,4,4,4,5,5,5
"A240",5,3.50769230769231,3,4,5,5,4,4,3,3,3,3,3,4,4,4,3,4,2,4,4,3,3,4,4,3,4,4,3,4,4,4,2,4,4,4,3,3,3,3,2,4,3,4,1,3,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3
"A241",5,4.90769230769231,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5
"A244",4,4.36923076923077,5,4,5,5,4,2,2,4,4,5,5,5,5,4,5,5,4,5,4,3,4,2,4,5,5,5,4,5,3,5,4,4,5,5,3,3,4,5,5,5,4,3,5,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,4
"A255",5,3.33846153846154,2,3,4,3,2,3,4,5,3,3,3,3,5,3,3,3,2,4,3,2,3,2,3,2,4,4,2,2,5,3,5,2,3,3,2,3,1,3,4,4,3,5,4,4,2,4,4,4,3,3,5,3,4,4,4,5,5,3,4,4,3,4,3,3,4
"A257",5,4,3,3,4,4,2,4,4,2,3,5,4,5,5,4,5,3,4,5,3,2,5,4,4,4,4,5,5,5,4,4,3,3,4,5,4,4,3,5,4,5,5,5,4,5,3,4,3,3,4,5,3,5,5,4,4,4,3,5,4,5,4,5,3,3,4
"A279",5,3.59375,4,5,3,3,5,5,5,5,4,5,2,3,4,3,2,3,4,4,4,3,3,3,3,3,4,3,3,NA,5,4,4,4,2,4,3,4,1,3,4,3,4,4,4,4,5,3,3,5,2,4,5,4,3,4,3,3,3,2,5,1,5,5,3,4,3
"A341",5,3.58461538461538,4,4,4,4,4,4,4,4,2,4,4,4,4,2,3,3,3,4,4,4,3,4,4,2,4,3,3,2,3,3,4,3,3,4,4,3,4,3,2,4,4,4,2,4,4,3,5,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
"A449",NA,4.72307692307692,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,4,5,3,4,4,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4,5
