"workerID","rate_donuts","mean","donuts01","donuts02","donuts03","donuts04","donuts05","donuts06","donuts07","donuts08","donuts09","donuts10","donuts11","donuts12","donuts13","donuts14","donuts15","donuts16","donuts17","donuts18","donuts19","donuts20","donuts21","donuts22","donuts23","donuts24","donuts25","donuts26","donuts27","donuts28","donuts29","donuts30","donuts31","donuts32","donuts33","donuts34","donuts35","donuts36","donuts37","donuts38","donuts39","donuts40","donuts41","donuts42","donuts43","donuts44","donuts45","donuts46","donuts47","donuts48","donuts49","donuts50","donuts51","donuts52","donuts53","donuts54","donuts55","donuts56","donuts57","donuts58","donuts59","donuts60","donuts61","donuts62","donuts63","donuts64","donuts65"
"A14",5,3.53846153846154,2,4,4,4,4,4,4,4,3,5,4,4,3,5,4,3,4,2,4,3,4,2,5,4,4,5,5,4,2,4,3,3,3,4,2,5,3,3,3,3,2,2,3,4,4,4,3,5,4,2,4,4,2,4,4,4,2,4,3,5,3,4,2,3,4
"A43",4,3.86153846153846,4,5,4,4,2,4,5,4,4,3,3,2,4,4,5,3,5,5,5,2,4,4,3,4,3,4,4,5,3,5,4,4,2,4,4,4,3,4,4,5,4,4,5,3,5,4,4,4,4,4,5,5,2,5,2,3,5,2,4,4,5,4,4,3,3
"A63",5,4.47692307692308,5,5,4,5,4,4,5,5,5,5,3,4,4,4,4,5,5,4,4,5,5,4,5,4,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,3,5,5,4,4,5,4,5,4,4,4,5,5,3,5,5,3,3,4
"A67",5,3.86153846153846,4,4,3,4,5,5,5,5,3,4,3,5,3,5,3,4,3,2,5,4,3,3,3,4,3,5,4,5,3,5,3,3,4,4,3,5,4,4,3,5,3,3,4,5,4,5,3,4,4,3,3,4,3,3,5,5,3,4,3,5,4,4,4,3,5
"A95",5,4.63076923076923,5,5,4,4,4,5,5,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,3,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,4,4,5,5,5,5,4
"A133",5,3.78461538461538,4,5,3,4,3,4,3,4,5,4,3,3,3,4,4,3,4,4,3,4,4,4,4,5,3,5,4,3,4,3,5,5,4,4,4,5,4,3,4,3,3,3,4,3,5,3,4,3,4,4,4,5,3,3,3,4,4,4,4,3,5,5,3,3,3
"A152",5,4.828125,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,4,NA,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
"A182",5,2.83076923076923,3,5,3,4,2,4,1,5,3,2,2,2,2,5,2,2,2,3,2,3,2,3,3,2,2,5,2,3,3,2,2,3,3,5,2,4,2,3,2,3,3,4,2,2,5,2,2,2,5,2,2,5,3,2,2,2,4,5,3,2,3,3,1,3,2
"A210",5,2.86153846153846,4,4,4,5,4,4,3,2,3,5,2,3,4,2,2,4,3,1,3,2,4,3,3,5,2,2,5,2,1,3,3,5,2,1,5,2,5,2,3,4,2,3,3,3,4,2,3,2,2,2,2,2,2,4,2,2,2,2,2,1,4,4,3,1,1
"A220",5,3.23076923076923,2,5,2,4,4,4,5,3,3,4,2,3,3,3,4,4,3,1,5,4,2,4,2,4,2,3,3,5,4,4,4,5,4,2,4,4,2,2,3,5,2,2,3,5,3,5,1,4,3,2,4,4,3,2,3,2,1,2,4,2,2,4,4,2,5
"A223",5,4.07692307692308,3,5,5,4,4,4,3,4,4,5,5,4,5,5,5,4,4,3,5,4,5,4,3,5,4,4,4,3,5,4,4,3,4,4,5,4,4,3,3,3,3,5,4,2,4,3,4,5,4,4,5,4,4,5,5,5,5,3,4,3,4,5,5,3,4
"A227",5,2.484375,1,5,2,4,1,5,3,2,3,3,2,5,3,2,1,5,3,1,1,4,3,2,NA,3,1,1,3,3,2,5,3,1,4,1,1,1,4,1,4,1,1,1,1,1,3,1,1,3,2,4,1,4,4,3,5,3,1,2,1,3,1,5,3,4,1
"A228",4,3.32307692307692,3,3,3,4,5,3,3,4,5,3,4,3,5,4,3,3,2,1,3,3,4,5,5,2,1,5,1,5,4,2,4,5,5,4,1,3,3,3,4,4,4,4,5,2,3,4,1,4,3,1,3,4,1,1,3,4,5,4,5,4,1,4,3,4,2
"A305",5,4.83076923076923,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,3
"A317",4,3.61538461538462,4,4,5,4,5,3,1,4,4,5,5,1,4,4,5,4,4,3,2,3,5,4,4,5,4,2,4,2,3,2,4,4,5,4,4,2,4,2,4,3,4,5,5,2,4,2,4,4,4,4,5,4,2,5,2,4,4,4,4,2,1,5,3,5,2
"A320",5,3.90769230769231,5,5,4,4,4,4,3,4,3,5,4,4,3,3,5,4,4,4,5,3,5,3,3,5,5,3,4,5,5,3,3,5,4,3,5,3,5,4,1,3,4,5,3,4,5,3,4,3,4,3,5,5,5,3,5,3,5,4,3,3,5,4,5,2,2
"A325",5,4.07692307692308,5,5,5,3,4,4,3,4,4,4,5,4,3,4,5,4,5,3,5,3,5,5,3,4,5,4,4,3,4,3,3,4,3,5,4,4,3,5,4,4,4,4,4,4,5,5,4,4,5,3,4,5,3,4,5,4,3,5,4,5,3,5,3,4,5
"A330",5,3.4,3,2,5,3,5,3,1,3,5,3,5,3,5,3,2,4,5,3,2,5,4,4,4,3,3,3,3,1,3,4,5,3,5,3,3,3,3,3,3,2,4,5,5,1,3,1,5,3,3,5,2,3,5,5,3,4,5,1,5,3,5,3,5,1,1
"A370",5,3.35384615384615,1,3,5,3,5,5,4,4,1,5,5,5,5,2,5,5,5,2,3,3,5,1,5,5,5,3,3,2,5,5,5,5,5,2,3,1,4,1,3,2,1,3,5,1,1,2,2,5,1,4,5,1,1,5,5,5,1,3,5,3,1,5,3,2,2
"A382",5,3.29230769230769,1,4,3,4,5,2,5,5,5,4,4,4,5,5,3,5,2,2,1,5,2,5,5,1,1,5,4,1,1,1,5,1,4,5,1,4,1,2,1,2,1,2,5,1,4,3,1,5,5,5,2,4,5,2,4,5,1,5,5,5,1,5,2,5,5
"A388",5,3.69230769230769,5,5,2,5,5,5,5,5,1,4,4,5,1,5,2,5,2,5,3,5,4,1,4,4,1,5,5,4,2,3,2,1,3,5,4,5,3,3,4,4,3,5,1,2,5,4,1,5,5,5,1,5,4,5,5,3,5,4,3,4,4,5,2,4,4
"A403",4,2.41538461538462,4,4,2,3,1,3,4,3,1,5,2,2,1,1,5,2,3,3,4,2,5,2,1,5,2,1,3,2,5,1,1,4,2,3,2,2,3,1,1,3,2,3,1,1,5,1,1,2,3,1,5,5,1,1,3,1,5,2,1,1,4,1,1,1,1
"A426",4,2.26153846153846,1,1,4,1,3,1,1,1,4,3,4,1,4,1,4,3,4,1,1,1,4,1,4,3,1,1,2,1,4,1,4,4,3,1,1,1,4,1,4,1,1,1,4,1,1,1,3,3,1,4,4,1,4,4,1,3,1,1,4,1,1,3,4,4,1
"A436",5,4.03076923076923,5,5,5,5,4,4,2,4,4,4,4,4,5,5,3,5,5,5,4,5,5,5,4,3,5,5,5,3,5,5,3,1,5,4,5,5,4,1,4,2,5,5,5,1,5,1,5,4,5,5,1,5,1,5,4,4,4,4,4,4,5,3,5,3,3
"A437",5,4.18461538461538,3,4,5,3,4,4,5,4,4,4,4,5,3,4,4,5,4,2,5,5,4,4,4,5,4,4,4,5,3,5,4,4,5,4,4,4,4,5,4,5,4,5,4,4,4,4,4,5,4,5,4,4,4,5,4,4,5,4,4,3,5,4,5,4,4
