"workerID","rate_fruit","mean","fruit01","fruit02","fruit03","fruit04","fruit05","fruit06","fruit07","fruit08","fruit09","fruit10","fruit11","fruit12","fruit13","fruit14","fruit15","fruit16","fruit17","fruit18","fruit19","fruit20","fruit21","fruit22","fruit23","fruit24","fruit25","fruit26","fruit27","fruit28","fruit29","fruit30","fruit31","fruit32","fruit33","fruit34","fruit35","fruit36","fruit37","fruit38","fruit39","fruit40","fruit41","fruit42","fruit43","fruit44","fruit45","fruit46","fruit47","fruit48","fruit49","fruit50","fruit51","fruit52","fruit53","fruit54","fruit55","fruit56","fruit57","fruit58","fruit59","fruit60"
"A29",5,4.55932203389831,4,5,5,5,5,4,3,5,5,3,5,4,3,5,3,5,4,5,5,5,5,5,5,5,5,NA,3,5,4,5,5,3,5,5,4,5,5,4,5,5,3,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,4
"A70",5,4.88333333333333,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5
"A132",5,4.58333333333333,5,5,5,5,5,4,5,3,5,5,3,5,3,3,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,3,5,5,5,5,4,5,5,2,4,5,5,5,5,5,2,5,4,5,4,5,4,5,5,5,5,5,5
"A137",5,4.06666666666667,3,4,3,5,5,3,5,2,4,3,3,5,5,2,2,4,3,5,5,3,5,5,5,4,5,5,3,5,5,3,4,5,3,5,4,5,4,3,4,5,5,5,4,4,5,4,5,4,3,2,5,4,4,5,4,5,3,5,4,3
"A159",5,4.53333333333333,5,5,1,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1
"A178",5,3.03333333333333,1,3,2,4,2,1,5,2,4,5,4,4,1,2,4,3,2,4,2,3,3,4,3,3,4,4,5,4,3,2,1,5,4,5,3,3,3,2,3,4,1,2,2,2,4,4,5,1,3,2,5,2,2,1,5,5,2,3,3,2
"A195",5,4.51666666666667,4,4,5,4,5,4,4,4,5,5,3,5,5,5,4,4,5,4,5,4,5,5,4,5,4,4,4,5,4,5,5,4,4,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,4,5,4,4,5,5,5,4,5,4,5
"A212",5,4.68333333333333,5,5,5,5,5,4,4,5,5,4,5,4,5,3,3,5,5,5,4,5,5,4,4,5,5,4,3,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5
"A214",5,4.35,5,5,4,5,5,5,3,4,5,3,4,5,5,4,2,5,5,5,5,3,5,2,5,5,2,5,3,2,5,4,5,2,5,5,5,5,5,3,5,5,5,4,5,4,5,5,5,4,4,5,5,3,5,5,4,5,4,5,5,4
"A217",5,3.93333333333333,3,4,4,3,5,3,3,4,3,4,5,3,3,3,4,5,4,5,5,3,5,5,5,5,5,5,3,3,3,5,2,4,3,4,4,4,4,4,4,5,3,4,4,4,3,3,3,5,4,4,4,4,4,5,4,5,4,4,4,3
"A229",5,4.66666666666667,5,5,5,4,5,4,4,4,5,5,5,3,4,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,4,5,4,5,5,4,5,5,5,4,5,5,4,5,5,5
"A231",5,3.8,3,4,4,4,5,3,3,2,4,2,3,4,4,3,3,4,4,4,5,4,4,4,5,5,4,4,2,4,4,4,4,3,4,5,4,4,4,5,4,5,3,5,3,3,4,4,4,3,3,4,5,4,4,1,5,4,3,4,4,4
"A232",5,3.76666666666667,3,5,5,5,5,3,3,3,5,2,5,4,3,2,2,3,5,2,3,5,2,2,3,5,3,3,2,3,5,5,3,4,5,2,5,4,5,2,5,5,3,5,3,4,5,5,4,5,4,2,5,2,3,5,5,2,3,5,5,5
"A253",5,3.21666666666667,4,5,3,5,2,3,2,4,5,2,2,4,3,3,1,1,3,5,4,2,2,4,4,2,3,4,2,2,3,2,2,2,5,5,4,3,5,2,5,4,2,4,5,2,5,5,2,2,4,2,3,1,3,1,5,5,2,4,4,4
"A268",5,4.26666666666667,2,5,5,5,5,2,4,3,5,4,5,5,5,4,3,4,5,3,2,4,4,5,4,5,5,1,4,5,5,5,5,4,5,4,5,2,5,3,5,5,5,5,3,3,5,5,5,5,4,5,5,4,5,5,4,4,3,5,5,5
"A288",5,3.91666666666667,4,5,5,5,5,5,1,3,5,1,3,5,3,1,1,5,3,5,4,4,3,4,5,5,5,5,1,5,4,5,1,2,5,4,5,5,5,5,5,5,3,5,2,4,3,5,5,5,2,1,5,5,1,4,5,5,4,5,5,4
"A299",5,3.76666666666667,3,5,5,5,4,1,5,1,5,1,5,1,5,2,3,1,4,4,1,2,5,5,4,5,5,1,1,5,5,5,4,4,5,5,5,3,5,1,5,5,5,5,1,5,5,5,1,1,5,5,4,4,5,1,3,5,5,5,5,5
"A301",5,4.9,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5
"A307",5,4.78333333333333,3,5,5,5,5,3,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5
"A323",5,4.15,5,5,5,4,5,5,4,3,5,5,5,3,2,2,4,4,4,3,3,4,3,5,5,5,5,4,5,4,4,5,3,4,5,3,5,4,5,4,5,5,3,5,4,5,4,4,3,5,5,3,5,3,2,4,5,2,5,4,5,5
"A324",4,3.58333333333333,3,3,4,4,4,4,4,2,4,3,5,4,4,2,4,3,4,5,4,4,3,3,4,4,3,4,3,3,5,4,3,4,4,5,3,5,3,3,3,3,3,3,2,3,4,4,4,2,4,2,4,3,4,4,4,3,5,4,3,4
"A336",5,4.15,2,5,5,4,4,5,3,4,4,3,3,4,4,5,2,5,5,4,3,5,4,4,4,5,4,5,3,5,5,5,3,4,5,5,4,4,5,3,5,5,5,4,4,5,4,4,4,4,3,4,4,4,2,4,5,4,4,5,5,5
"A355",5,4.9,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A360",5,3.43333333333333,4,5,5,5,2,3,1,1,5,1,5,4,4,1,1,5,5,1,1,5,2,1,2,2,2,1,1,3,5,5,5,1,5,1,5,2,5,1,4,5,5,5,1,5,5,5,5,1,5,5,5,5,5,1,5,1,5,5,5,5
"A395",5,4.66666666666667,4,5,5,5,5,4,5,4,5,2,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,2,5,4,5,5,5,5
"A399",5,4.71666666666667,3,4,5,5,5,3,4,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,5
"A409",5,4.63333333333333,5,5,4,4,5,4,5,5,4,5,5,5,4,4,5,4,4,4,5,3,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,4,5,5,4,4,4,5,5,5,5,5
