"workerID","rate_fruitDesserts","mean","fruitDesserts01","fruitDesserts02","fruitDesserts03","fruitDesserts04","fruitDesserts05","fruitDesserts06","fruitDesserts07","fruitDesserts08","fruitDesserts09","fruitDesserts10","fruitDesserts11","fruitDesserts12","fruitDesserts13","fruitDesserts14","fruitDesserts15","fruitDesserts16","fruitDesserts17","fruitDesserts18","fruitDesserts19","fruitDesserts20","fruitDesserts21","fruitDesserts22","fruitDesserts23","fruitDesserts24","fruitDesserts25","fruitDesserts26","fruitDesserts27","fruitDesserts28","fruitDesserts29","fruitDesserts30","fruitDesserts31","fruitDesserts32","fruitDesserts33","fruitDesserts34","fruitDesserts35","fruitDesserts36","fruitDesserts37","fruitDesserts38","fruitDesserts39","fruitDesserts40","fruitDesserts41","fruitDesserts42","fruitDesserts43","fruitDesserts44","fruitDesserts45","fruitDesserts46","fruitDesserts47","fruitDesserts48","fruitDesserts49","fruitDesserts50","fruitDesserts51","fruitDesserts52","fruitDesserts53","fruitDesserts54","fruitDesserts55","fruitDesserts56","fruitDesserts57","fruitDesserts58","fruitDesserts59","fruitDesserts60"
"A20",5,3.76271186440678,3,2,5,5,NA,2,4,5,2,3,4,2,5,1,5,5,4,2,5,4,4,5,5,3,3,5,4,4,1,3,5,3,5,3,4,3,5,4,3,4,3,5,3,4,5,5,4,4,3,1,5,3,4,3,5,5,5,5,1,5
"A188",5,3.93333333333333,5,3,3,4,4,3,5,2,5,5,5,4,4,5,4,3,3,5,2,3,3,5,3,5,4,4,5,4,5,5,4,4,5,3,4,5,4,4,5,3,4,3,3,2,4,5,5,3,5,3,3,4,4,3,3,4,3,5,4,5
"A203",5,4.36666666666667,4,4,4,4,4,5,4,5,5,5,4,5,5,5,5,4,4,3,4,4,4,4,5,4,4,5,5,5,4,4,5,5,4,4,4,4,3,4,4,5,4,4,5,5,5,5,4,5,4,4,3,5,3,4,5,5,5,4,5,5
"A219",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A221",5,3.53333333333333,4,4,5,5,3,2,5,3,2,2,4,3,4,5,3,5,2,3,2,4,4,2,2,4,3,4,5,4,3,4,3,2,5,2,4,2,5,2,4,4,4,4,3,4,5,2,4,4,4,4,5,4,4,2,5,4,2,2,4,4
"A224",5,4.15,5,4,4,5,3,3,5,5,5,5,2,1,5,4,5,5,5,3,4,5,5,5,2,5,4,5,3,4,3,4,5,2,5,5,3,3,4,5,5,5,4,5,5,3,5,5,5,3,5,4,1,5,5,5,3,5,4,5,2,5
"A235",5,3.38333333333333,3,4,4,4,2,5,5,3,3,3,3,3,5,5,4,2,4,5,1,3,3,3,3,4,3,4,3,2,5,1,5,4,2,4,3,3,4,3,2,3,2,4,4,3,4,3,4,4,4,4,4,2,3,4,4,4,2,3,3,3
"A280",5,4.16666666666667,4,4,4,5,4,2,4,3,4,4,4,3,5,4,5,5,5,5,4,5,4,4,4,4,4,4,5,4,5,4,5,4,3,4,4,3,5,5,4,4,5,3,5,4,4,3,4,5,4,4,5,4,3,5,5,4,4,5,4,4
"A303",5,4.16666666666667,4,3,5,5,2,2,5,5,4,4,4,4,5,5,5,5,3,3,4,5,3,4,5,3,5,3,3,4,2,4,5,5,5,4,4,4,5,5,5,4,3,5,5,4,4,5,5,3,4,4,5,4,5,5,5,5,5,5,1,4
"A372",5,3.38333333333333,3,5,4,3,5,3,3,5,4,4,3,5,4,1,3,5,5,3,2,3,2,2,4,2,3,3,3,3,2,4,5,1,2,4,4,2,5,4,3,2,2,4,4,4,3,3,4,3,4,1,4,3,4,5,3,5,4,5,3,2
"A385",5,3.05,3,3,5,5,2,3,4,3,4,4,2,1,5,3,5,5,5,3,2,5,1,1,1,1,5,3,1,1,2,4,4,3,4,5,2,1,1,4,3,2,5,1,1,4,1,4,4,3,4,4,3,5,4,4,5,1,1,3,3,2
"A392",5,3.83333333333333,5,4,5,5,5,2,5,4,4,3,4,4,5,4,4,5,3,2,3,4,5,4,3,4,3,3,3,3,2,3,5,3,4,4,2,3,4,5,3,5,3,4,4,4,5,3,5,5,2,3,2,2,5,5,5,5,5,5,4,3
"A401",5,3.96666666666667,3,1,5,5,5,3,5,5,5,3,3,1,5,5,4,5,5,3,4,5,5,5,1,3,4,5,3,1,5,3,5,4,5,5,4,1,5,5,3,5,3,5,4,5,3,4,5,4,4,1,3,3,5,5,5,5,5,4,4,4
"A417",5,3.43333333333333,4,3,4,5,3,3,3,4,3,3,2,2,2,3,4,4,4,3,3,4,3,3,3,3,4,5,3,5,3,3,4,3,3,4,3,4,2,3,5,3,4,3,3,3,4,3,3,3,3,3,5,4,4,4,4,4,3,3,3,5
"A434",5,3.9,4,4,4,4,4,4,4,2,4,4,3,3,4,4,4,5,5,3,4,4,3,4,3,3,4,3,4,3,3,5,4,4,5,4,4,4,4,4,5,3,4,5,4,3,4,4,4,3,4,4,4,4,5,5,4,4,4,5,4,3
"A435",5,3.88333333333333,5,5,5,5,4,3,4,2,4,4,2,4,2,3,5,3,5,5,4,5,5,4,4,3,4,4,5,2,4,4,4,4,3,3,3,4,5,4,4,5,4,2,2,5,3,5,3,2,4,5,4,5,3,4,5,5,5,4,1,5
"A445",5,4.01666666666667,3,3,5,5,4,3,5,5,3,4,3,2,5,3,3,5,5,2,3,3,5,5,2,2,5,5,2,2,4,5,5,4,5,5,3,3,4,5,4,5,4,5,5,5,3,5,5,2,5,3,5,5,5,5,5,3,5,5,3,4
