"workerID","rate_pizza","mean","pizza01","pizza02","pizza03","pizza04","pizza05","pizza06","pizza07","pizza08","pizza09","pizza10","pizza11","pizza12","pizza13","pizza14","pizza15","pizza16","pizza17","pizza18","pizza19","pizza20","pizza21","pizza22","pizza23","pizza24","pizza25","pizza26","pizza27","pizza28","pizza29","pizza30","pizza31","pizza32","pizza33","pizza34","pizza35","pizza36","pizza37","pizza38","pizza39","pizza40","pizza41","pizza42","pizza43","pizza44","pizza45","pizza46","pizza47","pizza48","pizza49","pizza50","pizza51","pizza52","pizza53","pizza54","pizza55","pizza56","pizza57","pizza58","pizza59","pizza60","pizza61","pizza62","pizza63","pizza64","pizza65","pizza66","pizza67","pizza68","pizza69","pizza70"
"A4",5,4.71428571428571,5,5,5,4,5,4,4,4,5,4,5,5,5,5,5,3,5,4,5,5,4,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,2,5
"A7",5,3.25714285714286,4,4,4,2,5,5,5,2,5,2,5,3,5,4,4,2,4,5,3,3,1,4,4,2,3,1,4,3,3,4,1,3,2,3,4,1,3,3,3,2,3,5,3,3,4,1,3,5,2,1,4,2,4,2,3,5,5,1,4,4,4,5,2,2,5,2,3,5,1,5
"A8",5,4.98571428571429,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
"A24",5,3.57142857142857,2,3,4,5,4,2,4,5,4,5,1,3,5,3,2,4,5,3,4,4,3,4,3,2,4,3,5,4,4,2,4,2,2,3,5,4,4,2,2,2,4,3,4,3,4,3,5,3,4,3,3,5,4,5,5,5,5,4,5,4,4,2,5,5,2,4,4,3,1,3
"A26",5,3.12857142857143,3,3,2,2,3,2,4,2,3,3,2,4,3,3,3,3,3,3,5,3,1,3,1,5,1,1,3,3,3,3,3,2,2,3,3,1,3,2,1,4,4,3,5,4,4,5,5,4,3,3,3,4,5,5,5,5,4,5,3,3,3,4,3,4,4,2,3,3,1,3
"A28",5,2.74285714285714,4,3,2,3,3,3,3,2,2,2,1,2,2,2,1,3,3,4,2,3,3,4,1,2,3,1,3,4,4,4,2,3,2,2,3,4,3,2,4,3,4,4,3,2,2,2,3,3,3,1,3,3,3,2,4,4,2,2,2,4,3,2,3,3,3,3,2,3,3,4
"A32",5,4.69565217391304,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,3,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,2,3,4
"A47",5,4.34285714285714,4,5,5,5,5,4,5,4,5,5,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,4,4,4,4
"A53",5,3.18571428571429,3,4,4,1,2,2,2,2,3,4,2,3,3,5,3,3,3,3,4,4,2,5,1,2,3,4,2,3,5,2,4,2,4,2,5,2,2,4,5,4,3,4,4,4,3,3,4,4,3,3,5,4,3,4,4,3,4,4,4,4,2,5,2,4,2,1,3,3,1,3
"A57",5,2.94285714285714,2,4,3,5,1,3,4,5,2,5,4,3,5,5,4,3,3,4,1,2,3,4,3,1,2,1,1,4,5,3,2,1,1,2,1,2,3,4,4,1,1,5,3,1,3,1,1,5,5,3,3,1,3,3,3,5,5,2,3,5,2,3,2,2,4,5,2,4,2,3
"A58",5,3.5,3,4,3,4,3,3,4,4,4,3,2,3,4,4,2,4,3,4,4,3,4,3,3,4,2,4,2,2,4,4,4,2,4,3,4,3,2,5,3,3,4,2,4,3,3,3,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,4,3,4
"A68",5,4.24285714285714,3,5,2,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,2,2,5,5,5,5,5,5,3,4,2,5,2,2,5,2,2,2,5,5,5,5,5,5,4,5,5,5,5,3,5,2,5,5,5,5,5,5,5,5,5,2,5,5,2,5,2,5
"A82",5,3.35714285714286,2,5,3,5,3,3,3,5,3,5,3,3,2,3,5,3,5,2,4,2,3,4,2,4,5,5,2,2,5,2,2,2,3,2,3,2,1,5,3,4,2,5,3,2,3,4,4,5,5,2,5,4,3,3,3,5,4,2,5,3,2,2,2,4,3,4,5,4,4,3
"A83",5,3.92857142857143,5,3,5,3,2,3,4,2,2,5,3,4,3,3,3,4,5,3,5,5,4,4,5,5,5,5,1,5,5,2,5,5,5,5,5,5,4,5,5,5,5,2,5,4,5,5,5,2,3,5,2,5,4,5,5,2,2,5,5,4,4,2,5,5,2,3,5,2,1,4
"A87",5,2.47142857142857,1,2,4,2,2,2,3,1,2,2,1,1,2,2,2,2,4,2,5,3,1,3,5,2,5,5,4,3,3,1,4,3,2,1,4,4,2,4,3,4,2,1,1,1,3,4,3,2,1,3,1,1,4,3,4,2,1,2,5,1,1,2,1,2,3,1,3,2,2,3
"A99",5,3.85507246376812,2,4,4,5,5,4,5,5,4,4,5,4,5,5,5,5,NA,5,4,2,5,4,3,1,4,1,5,3,4,5,2,2,3,4,4,2,4,4,2,3,2,5,4,4,5,3,2,5,5,3,5,2,4,4,4,5,5,4,5,5,2,5,3,2,5,5,3,5,3,5
"A119",4,4.35714285714286,4,5,5,3,5,5,5,3,5,5,5,5,4,5,2,5,3,5,5,3,3,5,5,4,5,3,5,5,5,5,5,1,5,5,5,5,5,3,5,3,5,5,5,5,3,5,5,5,3,5,5,5,5,2,5,5,5,5,3,3,3,5,5,5,5,3,5,5,1,5
"A121",5,4.02857142857143,5,3,3,4,3,3,3,5,3,3,4,5,4,3,4,5,3,5,4,5,5,4,3,4,4,4,3,5,3,3,5,5,4,4,5,5,5,3,3,4,4,4,3,4,3,5,5,3,4,3,5,4,4,5,3,3,5,5,3,5,5,5,4,4,3,5,5,5,4,4
"A127",5,3.35714285714286,2,5,2,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,2,1,1,5,5,3,2,1,5,3,5,5,2,5,2,1,2,1,2,1,2,1,1,5,2,5,5,2,1,5,5,1,5,1,3,2,1,5,5,2,5,4,2,5,1,1,5,5,2,5,4,3
"A130",5,4.28571428571429,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,5,4,5,5,3,4,4,4,4,5,4,5,5,4,4,4,4,5,5,4,5,4,4,4,5,4,5,4,4,5,5,5,4,4,3,5,5,5,5,5,4,5,5,4,5,3,5,5,4,4,4,3,3,4
"A135",5,3.08571428571429,2,3,5,5,3,4,1,5,5,5,2,2,4,1,4,2,4,5,1,5,5,3,3,3,4,1,2,2,3,3,1,2,2,3,2,3,5,4,5,1,5,3,1,1,3,2,2,1,5,3,3,1,3,5,3,2,5,1,5,5,5,2,1,1,1,4,5,4,5,4
"A136",5,4.71428571428571,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,4,5,3,5,4,5,2,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5
"A145",5,4.84057971014493,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,4,5,5,5,5,3,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5
"A242",5,3.71428571428571,2,5,5,2,5,3,5,1,5,5,5,5,5,5,3,5,4,5,3,3,5,5,4,4,4,1,5,5,3,5,2,3,4,4,5,2,3,2,3,3,4,5,4,4,3,3,3,5,5,2,5,4,2,3,2,5,3,2,3,3,3,5,4,4,5,2,3,5,2,4
"A245",5,4.9,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5
"A252",5,2.87142857142857,5,3,3,5,2,5,3,5,4,3,2,3,2,4,4,3,2,4,2,2,4,3,3,1,3,1,1,1,4,3,2,4,1,3,2,4,4,2,3,1,2,2,1,4,2,3,2,4,3,5,2,2,3,1,2,4,2,2,3,4,2,4,2,2,3,3,2,4,5,5
"A256",5,4.01449275362319,5,4,4,4,2,5,3,4,4,4,5,4,5,5,4,4,4,5,5,4,4,3,2,4,4,5,4,5,5,4,3,3,4,5,4,3,4,5,3,4,5,4,5,4,4,4,3,4,3,3,5,4,4,4,3,5,3,NA,4,4,4,5,4,4,4,5,4,4,4,2
"A447",NA,2.68571428571429,2,5,1,2,5,1,5,2,5,4,2,3,2,5,3,1,4,4,1,1,3,4,4,5,1,3,5,2,4,4,1,2,1,1,1,1,3,4,4,1,3,2,4,3,5,1,1,5,2,1,2,1,4,3,3,5,2,4,4,2,1,3,1,1,5,2,2,2,1,1
