"workerID","rate_veggies","mean","veggies01","veggies02","veggies03","veggies04","veggies05","veggies06","veggies07","veggies08","veggies09","veggies10","veggies11","veggies12","veggies13","veggies14","veggies15","veggies16","veggies17","veggies18","veggies19","veggies20","veggies21","veggies22","veggies23","veggies24","veggies25","veggies26","veggies27","veggies28","veggies29","veggies30","veggies31","veggies32","veggies33","veggies34","veggies35","veggies36","veggies37","veggies38","veggies39","veggies40","veggies41","veggies42","veggies43","veggies44","veggies45","veggies46","veggies47","veggies48","veggies49","veggies50","veggies51","veggies52","veggies53","veggies54","veggies55","veggies56","veggies57","veggies58","veggies59","veggies60","veggies61","veggies62","veggies63","veggies64","veggies65"
"A60",5,4.03076923076923,5,3,5,5,5,2,4,5,5,5,3,5,5,3,5,5,5,5,3,5,1,2,4,1,5,4,4,2,4,5,2,4,4,1,5,5,5,5,1,5,5,5,5,4,3,5,4,3,4,5,4,3,3,5,5,3,4,4,5,3,5,4,4,5,5
"A111",5,3.75384615384615,5,4,5,5,4,5,4,5,3,5,5,3,3,5,3,2,5,4,5,4,5,4,5,4,4,5,5,4,4,5,5,3,5,5,4,5,4,3,2,3,3,3,5,3,3,1,1,4,3,3,3,2,5,3,5,1,1,3,3,4,3,3,3,4,4
"A174",5,3.30769230769231,1,5,1,3,5,1,2,1,4,3,1,5,5,5,2,1,1,1,1,1,5,1,1,5,1,2,1,5,1,4,5,5,1,5,4,5,5,4,5,4,1,4,5,2,5,5,4,5,5,5,1,5,4,5,5,5,5,5,1,3,5,5,5,1,1
"A211",5,3.98461538461538,5,4,4,2,5,5,3,5,3,4,2,3,5,5,4,2,4,5,4,3,5,5,2,4,3,4,4,4,1,4,4,5,2,4,5,3,4,5,4,4,3,3,4,3,4,5,5,4,5,5,2,4,5,5,4,5,5,3,5,5,4,5,3,5,5
"A234",4,4.640625,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,2,5,4,5,5,5,4,5,NA,5,3,5,3,4,5,4,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,4,5,4,5,3,5,5,4,5
"A236",5,4.921875,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,5,4,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A237",5,4.30769230769231,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,4,3,5,5,2,5,3,4,4,5,4,5,1,4,4,4,1,5,5,3,5,5,5,4,3,5,4,4,5,5,5,3,2,4,1,5,5,5,5,5,5
"A293",5,4.33846153846154,5,5,4,3,5,4,5,3,4,3,4,5,5,4,5,5,5,5,5,3,5,5,4,5,3,5,4,5,1,5,4,5,1,5,5,5,4,5,5,4,5,2,5,4,4,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5
"A311",5,4.26153846153846,5,2,5,5,5,5,4,3,5,5,5,5,3,5,4,5,1,5,5,4,3,5,5,2,1,5,5,3,4,5,2,5,5,4,4,4,5,5,3,5,5,5,5,4,4,3,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,1,3
"A333",5,4.89230769230769,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5
"A363",5,4.29230769230769,5,3,5,3,5,5,3,5,5,5,5,5,5,5,5,3,4,5,5,5,4,5,3,3,3,4,5,4,2,5,3,5,3,4,4,4,5,5,4,5,4,5,5,4,5,3,4,5,4,5,2,5,5,5,4,4,5,5,5,5,4,5,4,3,3
"A367",5,4.16923076923077,5,5,5,2,4,5,1,5,5,3,4,5,5,5,5,1,5,5,5,3,5,4,5,5,5,5,5,4,5,5,1,5,2,5,2,5,5,3,3,5,1,5,5,5,5,4,4,3,4,3,5,5,4,5,5,4,4,5,4,4,5,4,5,1,5
"A374",5,4.36923076923077,5,5,5,4,5,5,5,5,5,5,4,5,2,5,5,5,5,4,1,5,5,4,5,5,2,5,4,5,1,5,5,5,4,5,4,3,4,4,5,4,5,1,5,5,5,5,3,5,5,5,1,5,5,5,5,5,3,5,5,5,3,5,5,4,5
"A379",5,3.43076923076923,4,5,4,3,3,4,3,3,4,3,4,4,3,3,5,2,4,2,3,4,5,4,3,5,3,3,4,5,3,4,3,2,3,5,2,4,3,3,4,4,2,3,4,4,4,3,3,3,4,3,3,4,4,3,4,2,3,3,3,4,3,2,3,3,4
"A410",5,2.70769230769231,5,4,5,1,3,5,2,3,1,5,3,1,4,5,1,1,1,1,3,2,5,5,1,4,1,1,5,4,1,2,4,2,1,5,2,2,1,2,3,1,2,2,2,4,5,3,3,3,3,2,1,2,5,3,3,4,3,2,2,2,2,2,2,4,2
"A413",5,3.98461538461538,3,4,4,3,5,4,2,5,5,5,3,3,5,5,5,5,4,5,4,4,4,2,4,4,2,5,5,4,3,4,4,2,3,4,3,5,5,4,4,5,5,5,5,5,5,4,4,3,2,2,2,5,5,5,5,5,3,4,5,3,5,2,3,3,5
"A424",5,4.07692307692308,4,2,5,4,4,4,5,5,5,5,5,4,5,4,5,4,3,4,4,4,3,3,5,3,4,4,5,2,5,5,2,3,4,2,5,4,5,4,3,5,4,5,5,5,5,4,3,4,3,3,5,4,4,5,5,3,3,4,5,3,5,3,4,5,5
"A439",5,2.35384615384615,2,1,1,1,4,1,2,2,2,2,4,1,2,5,2,2,4,2,1,1,4,2,2,5,1,1,1,2,3,1,4,4,1,4,5,1,4,1,4,2,2,1,2,5,2,1,1,1,1,2,1,1,1,5,5,4,4,5,1,2,2,2,1,2,5
"A441",5,4.24615384615385,5,1,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,1,3,5,4,1,5,3,5,1,5,4,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,2,5,4,5,5,5,5,5,5,5,1,5,2,5,5,5
